"min1","min2","min3","min4","min5","min6","min7","min8","min9","min10","min11","min12","max1","max2","max3","max4","max5","max6","max7","max8","max9","max10","max11","max12","avg1","avg2","avg3","avg4","avg5","avg6","avg7","avg8","avg9","avg10","avg11","avg12","rain1","rain2","rain3","rain4","rain5","rain6","rain7","rain8","rain9","rain10","rain11","rain12"
10.6,9.9,10.5,11,12.5,14.7,16.9,18,17.1,15,13,11.6,14.8,14.4,14.9,15.8,17.6,20,22.8,23.9,22.7,19.9,17.3,15.8,12.7,12.1,12.7,13.4,15,17.3,19.8,20.9,19.9,17.4,15.1,13.7,130,111,103,74,66,53,41,57,92,118,126,126
8.3,7.6,8.1,8.6,10.2,12.4,14.7,15.9,14.8,12.7,10.7,9.3,16,15.6,16.1,17,18.8,21.1,23.7,24.9,23.7,21,18.5,17,12.843,12.314,12.8,13.529,15.214,17.471,19.886,21.029,20,17.571,15.271,13.829,129.86,112.71,108.29,72.429,63.286,50.571,38.857,53.714,88.571,118,125.43,120
10.1,9.5,9.9,10.5,12,14.2,16.4,17.4,16.6,14.6,12.5,11.2,15.8,15.4,15.9,16.8,18.6,20.8,23.3,24.5,23.5,20.8,18.1,16.7,12.88,12.38,12.84,13.62,15.28,17.54,19.88,21.02,20,17.66,15.3,13.9,137.8,121.4,119,75,60.4,48.4,38.4,50.4,84.4,120.4,127,117.8
10.2,9.7,9.9,10.7,12.2,14.3,16.4,17.4,16.6,14.7,12.5,11.3,16.3,15.9,16.4,17.4,19.2,21.3,23.5,24.7,23.8,21.2,18.6,17.3,13.36,12.9,13.26,14.12,15.78,17.92,20.12,21.22,20.34,18.08,15.6,14.4,155.8,140,141.2,80.4,54.2,44,36.6,42.6,75.6,123.6,129.4,114.4
11.7,11.1,11.5,12.1,13.5,15.7,17.8,18.9,18.1,16.1,14.1,12.7,15.9,15.5,16,16.9,18.7,20.9,23.4,24.6,23.5,20.8,18.3,16.8,13.8,13.25,13.7,14.5,16.1,18.25,20.6,21.7,20.75,18.45,16.2,14.7,140.5,122.5,119.5,74,58.5,47.5,38,48.5,83.5,121,125,116
11.9,11.3,11.8,12.3,13.6,15.7,17.7,19,18.4,16.4,15.1,12.9,17.3,17,17.7,18.4,20.1,22,24.3,25.6,24.9,22.4,19.9,18.3,14.725,14.225,14.9,15.425,17,18.975,21.125,22.425,21.7,19.525,17.625,15.65,99.25,78.75,70,50,35,21.25,21.25,34.5,59.5,86.25,103.5,94.75
9.7,9.1,9.6,10.2,11.6,13.6,15.6,16.8,16.1,14.1,12.3,10.7,17.1,16.8,17.3,18.1,19.7,21.8,24.2,25.5,24.6,22.1,19.5,18,13.6,13.125,13.65,14.362,15.875,17.962,20.125,21.338,20.575,18.312,16.075,14.525,125.75,101,99,77,61.75,37.75,33.75,39.75,87.25,103,135.38,123
9.3,8.7,9.2,9.7,11.1,13.2,15.2,16.4,15.7,13.7,11.9,10.3,16.9,16.7,17.2,17.9,19.5,21.6,24,25.2,24.4,21.9,19.4,17.8,13.425,12.975,13.5,14.15,15.65,17.75,19.975,21.125,20.425,18.125,15.975,14.35,122.5,98.25,94.75,73.5,57.5,35.25,32.75,40.25,82.5,100.75,131.25,119.25
-2.3,-2,-1.8,0.1,3.2,5.9,7.7,7.5,5.4,2.7,-0.3,-2.1,2.6,3,3.4,5.8,8.6,11,12.6,12.3,9.8,6.9,3.9,2.7,0.1,0.5,0.8,2.9,5.85,8.45,10.15,9.85,7.55,4.8,1.8,0.3,116.5,113.5,103.5,79.5,69.5,70.5,61,87.5,96.5,132.5,103,115
-5,-4.6,-4.5,-2.2,1,3.9,5.6,5.4,3.2,0.4,-3,-4.8,2.1,2.6,2.9,5.4,8.2,10.6,12.3,11.9,9.3,6.4,3.3,2.2,-1.3444,-0.93333,-0.72222,1.6444,4.6889,7.3556,9.0222,8.7222,6.3111,3.4444,0.2,-1.1778,127,120.89,108.89,84.333,74.778,76.889,64.889,93.556,101.11,141.67,102.89,120.78
