"lon","lat"
-29.01,38.61
-28.44,38.61
-27.86,38.62
-27.29,38.62
-27.87,39.07
-25.04,36.8
-25.58,37.71
-25.01,37.71
-24.45,64.68
-24.42,65.58
-22.52,63.79
-21.51,63.8
-20.49,63.8
-20.5,63.35
-19.48,63.79
-19.5,63.35
-18.49,63.78
-18.5,63.33
-23.55,64.68
-23.58,65.58
-23.57,65.13
-23.6,66.02
-22.57,64.69
-22.55,64.24
-21.52,64.7
-21.52,64.25
-22.63,65.59
-22.6,65.14
-21.54,65.6
-21.53,65.15
-22.68,66.49
-22.66,66.04
-21.55,66.04
-20.48,64.7
-20.48,64.25
-19.43,64.69
-19.45,64.24
-20.46,65.6
-20.47,65.15
-19.37,65.59
-19.4,65.14
-20.45,66.04
-19.34,66.04
-18.45,64.68
-18.47,64.23
-18.42,65.58
-18.43,65.13
-18.4,66.02
-17.51,63.78
-16.52,63.79
-17.55,64.68
-17.53,64.23
-17.58,65.58
-17.57,65.13
-17.6,66.02
-16.57,64.69
-16.55,64.24
-15.52,64.7
-15.52,64.25
-16.63,65.59
-16.6,65.14
-15.54,65.6
-15.53,65.15
-16.68,66.49
-16.66,66.04
-15.56,66.49
-15.55,66.04
-14.48,64.7
-14.48,64.25
-14.46,65.6
-14.47,65.15
-13.37,65.59
-13.4,65.14
-14.44,66.49
-14.45,66.04
-9.29,38.62
-9.29,39.52
-9.29,39.07
-8.16,36.82
-8.72,37.72
-8.72,37.27
-8.15,37.72
-8.15,37.27
-8.71,38.62
-8.71,38.17
-8.14,38.62
-8.14,38.17
-8.71,39.52
-8.71,39.07
-8.13,39.52
-8.13,39.07
-8.71,39.97
-8.12,39.97
-7.58,37.71
-7.59,37.26
-7.01,37.71
-7.03,37.26
-7.56,38.61
-7.57,38.16
-6.99,38.61
-7,38.16
-7.55,39.52
-7.56,39.07
-6.96,39.51
-6.98,39.06
-7.54,39.97
-6.95,39.96
-6.48,36.79
-6.49,36.34
-6.37,37.69
-6.46,37.24
-6.35,38.59
-6.36,38.14
-6.34,39.49
-6.34,39.04
-6.33,39.94
-9.31,43.13
-9.31,42.68
-8.71,40.43
-8.12,40.42
-8.7,41.33
-8.7,40.88
-8.1,41.32
-8.11,40.87
-8.7,42.23
-8.7,41.78
-8.09,42.22
-8.1,41.77
-8.69,43.13
-8.69,42.68
-8.08,43.12
-8.08,42.67
-8.07,43.57
-7.53,40.42
-6.94,40.41
-7.51,41.32
-7.52,40.87
-6.91,41.31
-6.92,40.86
-7.49,42.22
-7.5,41.77
-6.88,42.21
-6.89,41.76
-7.46,43.12
-7.47,42.67
-6.85,43.11
-6.86,42.66
-7.45,43.57
-6.83,43.56
-6.32,40.39
-6.31,41.29
-6.31,40.84
-6.29,42.2
-6.3,41.74
-6.27,43.1
-6.28,42.65
-6.26,43.55
-10.83,52.11
-10.15,54.37
-9.38,54.37
-10.1,52.12
-10.08,51.67
-9.37,52.13
-9.36,51.68
-10.11,52.57
-9.37,53.02
-9.37,52.57
-10.14,53.92
-10.13,53.47
-9.38,53.92
-9.38,53.47
-8.61,54.82
-8.62,54.37
-7.83,54.82
-7.85,54.37
-8.61,55.27
-7.82,55.27
-8.63,52.13
-8.64,51.68
-7.9,52.12
-7.92,51.67
-8.63,53.02
-8.63,52.57
-7.88,53.02
-7.89,52.57
-8.62,53.92
-8.62,53.47
-7.86,53.92
-7.87,53.47
-7.06,54.81
-7.08,54.36
-6.33,54.79
-6.35,54.34
-7.03,55.26
-6.31,55.69
-6.32,55.24
-6.57,49.85
-7.17,52.11
-6.4,52.1
-7.14,53.01
-7.16,52.56
-6.38,53
-6.39,52.55
-7.1,53.91
-7.12,53.46
-6.36,53.89
-6.37,53.45
-7.78,56.61
-7.75,57.51
-7.76,57.06
-8.58,57.97
-7.57,62
-7.55,62.45
-6.96,56.6
-6.28,56.59
-6.29,56.14
-6.91,57.5
-6.94,57.05
-6,57.48
-6,57.03
-6.86,58.4
-6.89,57.95
-6,58.38
-6,57.93
-6.55,61.99
-6.56,61.54
-6.53,62.43
-9.69,70.98
-8.31,70.98
-5.49,35.89
-5.52,36.79
-5.51,36.34
-5.63,37.69
-5.54,37.24
-5.65,38.59
-5.64,38.14
-5.66,39.49
-5.66,39.04
-5.67,39.94
-4.96,36.8
-4.95,36.35
-4.4,36.81
-4.99,37.71
-4.97,37.26
-4.42,37.71
-4.41,37.26
-5.01,38.61
-5,38.16
-4.44,38.61
-4.43,38.16
-5.04,39.51
-5.02,39.06
-4.45,39.52
-4.44,39.07
-5.05,39.96
-4.46,39.97
-3.84,36.82
-3.28,36.82
-3.85,37.72
-3.85,37.27
-3.28,37.72
-3.28,37.27
-3.86,38.62
-3.86,38.17
-3.29,38.62
-3.29,38.17
-3.87,39.52
-3.87,39.07
-3.29,39.52
-3.29,39.07
-3.88,39.97
-3.29,39.97
-2.72,36.82
-2.16,36.82
-2.72,37.72
-2.72,37.27
-2.15,37.72
-2.15,37.27
-2.71,38.62
-2.71,38.17
-2.14,38.62
-2.14,38.17
-2.71,39.52
-2.71,39.07
-2.13,39.52
-2.13,39.07
-2.71,39.97
-2.12,39.97
-1.58,37.71
-1.59,37.26
-1.01,37.71
-1.56,38.61
-1.57,38.16
-0.99,38.61
-1,38.16
-1.55,39.52
-1.56,39.07
-0.96,39.51
-0.98,39.06
-1.54,39.97
-0.95,39.96
-0.35,38.59
-0.36,38.14
-0.34,39.49
-0.34,39.04
-0.33,39.94
-5.68,40.39
-5.69,41.29
-5.69,40.84
-5.71,42.2
-5.7,41.74
-5.73,43.1
-5.72,42.65
-5.74,43.55
